	mean_h	Color	phase	ratio G/R
P1_C11-01	0.215031652209111	Green	S/G2	1505.504814618885
P1_C12-02	0.22442093750084693	Green	M	180.84622587196736
P1_C2-02	0.30600283734682987	Red	G1	0.2243827280401358
P1_C3-01	0.5199170685607978	Green	S/G2	522.1633840534283
P1_C4-01	0.7822859064622	Yellow	G1/S	0.3946156877851289
P1_C5-01	0.9310958947705686	Green	S/G2	355.30250155479183
P1_C7-01	0.9968983874826256	Yellow	G1/S	0.6185812891036576
P1_C8-01	0.30654185789692867	Green	S/G2	2021.24895030214
P1_C9-01	0.3475411954780582	Green	S/G2	294.1944657097734
P2_C1-01	0.7262027717960905	Green	S/G2	1578.4966353282894
P2_C2-02	0.8525537484033738	Green	S/G2	974.2431644225596
P2_C3-01	0.3081714621241762	Green	S/G2	1009.2133045145775
