	EGFP	DsRed	ratio G/R	Color	phase
P2_C10	3480.947855423046	457.55241147962795	7.607757642816033	Green	S/G2
P2_C11	9554.428293430597	20.83490040444576	458.5780641116897	Green	S/G2
P2_C12	228.35742633488337	1513.7460487794938	0.1508558364324081	Red	G1
P2_C13	115.81446404536831	749.0661715126158	0.15461179325652907	Red	G1
P2_C13	63.29827028831056	438.45010230851426	0.14436824157420516	Red	G1
P2_C14	4935.486904836515	503.06231134879624	9.810885835600821	Green	S/G2
P2_C15	17476.21190674998	35.590598678398464	491.0345022478388	Green	S/G2
P2_C16	7403.421486710508	22.229121371958115	333.05056744392397	Green	S/G2
P2_C17	9299.77003625171	16.310210439792456	570.1808735442685	Green	S/G2
P2_C18	9874.08646394774	18.56825174283685	531.7725438398855	Green	S/G2
P2_C19	290.737186155865	1149.7580314573156	0.2528681498204942	Red	G1
P2_C19	404.95002883928856	2178.742867339151	0.1858640755225259	Red	G1
P2_C1	5378.995997177129	17.51307793659771	307.14166959403786	Green	S/G2
P2_C20	158.93147602397602	1018.9281705794206	0.15597907743938272	Red	G1
P2_C20	183.00853567316733	1551.4134260271874	0.1179624544966135	Red	G1
P2_C21	1775.0281128877666	1696.7887842995287	1.0461102344099573	Yellow	G1/S
P2_C22	1474.4691300298462	1110.4862065348095	1.327768973043635	Yellow	G1/S
P2_C22	1246.4536792440465	1398.49198671481	0.8912841053684434	Yellow	G1/S
P2_C23	1720.6809557661795	355.13991524267783	4.845079029177518	Green	S/G2
P2_C23	3967.4197458682784	401.3260347043205	9.885777155701598	Green	S/G2
P2_C24	3962.933470208225	649.4296833344538	6.102174834172662	Green	S/G2
P2_C24	3341.4991330598177	873.4308389659936	3.8257169131051443	Green	S/G2
P2_C25	1518.4115391300986	857.6216146381935	1.770491220385897	Yellow	G1/S
P2_C25	1790.088390278861	1468.457053674936	1.2190267231847303	Yellow	G1/S
P2_C26	2684.472248106163	31.90423329147481	84.14156903822183	Green	S/G2
P2_C26	1809.140080989951	28.751047447841643	62.924318992968175	Green	S/G2
P2_C27	5006.154668587452	277.7796608051196	18.02203463737251	Green	S/G2
P2_C28	15362.075431310604	20.54337216837692	747.7874277601779	Green	S/G2
P2_C29	249.68366454681734	2145.9861142689047	0.11634915197570123	Red	G1
P2_C2	7400.998862089088	18.53869586171973	399.21895894367077	Green	S/G2
P2_C30	9224.576809360977	156.55526557277815	58.92217534563045	Green	S/G2
P2_C31	223.51498310097998	1460.4062146848369	0.15304987122998218	Red	G1
P2_C31	226.9353203414662	1746.5774647482995	0.12993143729480675	Red	G1
P2_C32	15867.36243272076	22.58656800429418	702.5132118214702	Green	S/G2
P2_C33	2684.8138342691504	162.11706362390026	16.560957707066063	Green	S/G2
P2_C34	12015.643389423849	22.24057136710732	540.2578553892	Green	S/G2
P2_C35	1669.3740174970253	2115.7290994845143	0.7890301352397899	Yellow	G1/S
P2_C35	1342.667269753479	3049.5693138772795	0.44028094840919907	Yellow	G1/S
P2_C36	11106.200071407195	24.81676797221914	447.5280618265807	Green	S/G2
P2_C37	14590.052785475813	26.8745588682456	542.8945962240558	Green	S/G2
P2_C39	202.8272625106389	1200.9014752882626	0.16889583923772974	Red	G1
P2_C39	124.26964326808712	598.7303150606094	0.20755528848661575	Red	G1
P2_C39	167.10927946729186	1274.0461340565416	0.13116422945786013	Red	G1
P2_C3	708.6322127037276	2755.0343459029505	0.257213567503267	Red	G1
P2_C40	16031.866943532239	44.440617809946275	360.74806637688414	Green	S/G2
P2_C41	410.16402770897133	1319.7097489003481	0.31079866466906203	Yellow	G1/S
P2_C41	307.3243395128246	1223.444594482578	0.2511959600776192	Red	G1
P2_C42	1013.0279113827349	1613.5287705907538	0.6278338073958482	Yellow	G1/S
P2_C42	613.1834775822538	1348.4003485855978	0.4547488275462488	Yellow	G1/S
P2_C42	555.2749442287297	1572.5914390877474	0.35309548966567056	Yellow	G1/S
P2_C42	433.91865041835	1505.9991784472895	0.2881267510821138	Red	G1
P2_C43	7725.902052483825	1804.1591875482748	4.282272931238834	Green	S/G2
P2_C43	1909.7260810079397	634.1093686552434	3.011666717774409	Green	S/G2
P2_C44	11747.26236704827	27.888894978281144	421.2164869277399	Green	S/G2
P2_C45	5405.011564355207	29.74772669102569	181.69494497829288	Green	S/G2
P2_C45	6535.696160147403	35.7503151531844	182.8150642069304	Green	S/G2
P2_C46	8626.787885449256	41.86176174445481	206.07799399632285	Green	S/G2
P2_C46	6223.819483933396	43.2643472553284	143.85561966769015	Green	S/G2
P2_C47	9240.102882398003	32.04306199067531	288.36516575996757	Green	S/G2
P2_C47	2887.3551497327726	1607.8244071993497	1.7958149763146227	Yellow	G1/S
P2_C48	8828.442994878187	20.104988145244732	439.11704553610025	Green	S/G2
P2_C49	7463.899522079906	38.359634288020715	194.57692078182296	Green	S/G2
P2_C4	70.1900701010482	676.2554683027196	0.10379224034552023	Red	G1
P2_C50	7997.479184884872	49.87141937271704	160.3619725581747	Green	S/G2
P2_C51	1123.1957653495958	1864.4498503688285	0.6024274480364293	Yellow	G1/S
P2_C51	556.3672239133824	1244.4190333493784	0.44708993434141636	Yellow	G1/S
P2_C51	660.5643068108469	2063.1084235462986	0.32017915261835633	Yellow	G1/S
P2_C51	497.2665618024804	1871.9400913606346	0.2656423483301959	Red	G1
P2_C52	253.24194614428086	1227.7603087168432	0.20626334337925378	Red	G1
P2_C52	224.20679290308777	1110.1660795977725	0.201957884521495	Red	G1
P2_C53	7203.413237262417	69.99518892192927	102.9129765661024	Green	S/G2
P2_C54	174.82353051321695	462.9630454159882	0.3776187586552011	Yellow	G1/S
P2_C55	209.66566286755824	1067.2929239347134	0.19644622218106597	Red	G1
P2_C55	152.1571909325412	734.0903867113191	0.20727310108799585	Red	G1
P2_C56	2425.376198022926	4222.009887428241	0.5744600942894283	Yellow	G1/S
P2_C56	1534.7180437712052	3719.3113343770074	0.41263500304103307	Yellow	G1/S
P2_C57	8040.312754047493	48.72297742825853	165.02096502387073	Green	S/G2
P2_C58	7702.025655485786	14.324661213989913	537.6759380503705	Green	S/G2
P2_C58	12630.145575955596	16.48206869404305	766.2961373604991	Green	S/G2
P2_C58	8327.259746304433	14.656182593211895	568.1738538220217	Green	S/G2
P2_C59	8130.088692518999	2069.1890427972344	3.9291183765057704	Green	S/G2
P2_C5	7126.969951967458	407.8700222791243	17.473630231863773	Green	S/G2
P2_C61	16612.13278415033	38.99471688835584	426.0098318372676	Green	S/G2
P2_C61	14785.185128729454	50.21716755307102	294.4249118213213	Green	S/G2
P2_C62	11461.290357446496	183.53575010643442	62.44718182043535	Green	S/G2
P2_C62	5511.4365773708605	126.56979749380278	43.54464245422148	Green	S/G2
P2_C62	5759.892773919289	181.48681975810464	31.737251121576666	Green	S/G2
P2_C63	8064.266260596642	57.25542077710827	140.84720976884128	Green	S/G2
P2_C63	2433.6875734903815	30.62149769503506	79.47643834171367	Green	S/G2
P2_C63	2701.6187972305947	70.22737463416766	38.46959695281245	Green	S/G2
P2_C64	6009.95467227141	1743.5661768358864	3.4469323574387616	Green	S/G2
P2_C64	1884.762338590322	763.9732658179195	2.4670527398265327	Yellow	G1/S
P2_C64	1423.770854509396	804.8425808381794	1.769005378699835	Yellow	G1/S
P2_C6	9985.0187619798	20.46659936600105	487.86897048304144	Green	S/G2
P2_C7	204.01550633681586	1438.2156163812347	0.1418532131156727	Red	G1
P2_C7	218.9873580590201	1726.593742942995	0.1268320118464892	Red	G1
P2_C8	10033.581164244057	21.842333846472627	459.36396883084933	Green	S/G2
P2_C9	10815.835503160377	22.29032236479685	485.2256206147044	Green	S/G2
