	EGFP	DsRed	ratio G/R	Color	phase
P1_C1	57.79109356495093	925.9389785168512	0.0624135012196154	Red	G1
P1_C2	2070.2461153694994	117.77095834729715	17.57857917114429	Green	S/G2
P1_C3	1701.4634007378672	61.261091441376266	27.773964856079665	Green	S/G2
P2_C1	218.95394265232977	1150.04005448932	0.19038810152534832	Red	G1
P2_C2	268.5992212332953	24.094761722228156	11.147618902805096	Green	S/G2
P2_C3	163.95382218456265	2588.44082843068	0.0633407649824333	Red	G1
P2_C4	894.1759561935557	48.984498334022646	18.254263830492214	Green	M
P2_C5	1258.3136773107	87.71156419161133	14.346040786159463	Green	S/G2
P2_C6	736.3797753625305	1495.7227808001658	0.49232370116646207	Red	G1
P3_C1	733.9152100470044	33.03714150655253	22.214852029538964	Green	S/G2
P3_C2	1228.056765524733	23.563012002636782	52.11798752159992	Green	S/G2
P3_C3	120.7071432641298	2384.587990813123	0.05061970609982388	Red	G1
P3_C4	1159.9921381096733	39.790670157075624	29.152364952149522	Green	S/G2
P3_C5	1058.7289536719936	41.36947407233288	25.592033193867735	Green	S/G2
P4_C1	1128.0257530419897	10.957474379553247	102.94578056663282	Green	S/G2
P4_C2	1240.0520299900008	16.84992435959387	73.5939226506943	Green	S/G2
P4_C3	305.7391167436873	959.4328095399308	0.3186665222448417	Red	G1
P4_C4	816.8971104976049	24.365446939079618	33.52686747507955	Green	S/G2
