	EGFP	DsRed	ratio G/R	Color	phase
P1_C10	244.2121613663133	36.02939733019238	6.77813617386448	Green	S/G2
P1_C1	202.23698590739144	111.01950915540216	1.8216346608442078	Yellow	G1/S
P1_C2	67.60444611703987	1604.7940646756808	0.04212655542859471	Red	G1
P1_C3	586.106151152125	35.320991772292636	16.59370594491327	Green	S/G2
P1_C4	1130.2575799818778	9.928696334891688	113.8374608164716	Green	S/G2
P1_C5	1310.6334139725827	60.992434572245436	21.488458743520717	Green	S/G2
P1_C6	894.3216477686466	16.181666840079075	55.2675850150105	Green	S/G2
P1_C7	838.2422661962469	40.173697658653595	20.865449661084053	Green	S/G2
P1_C8	439.346518237802	378.54542870677403	1.1606176826351937	Yellow	G1/S
P1_C9	45.32874701889561	800.4770253654538	0.05662716802921483	Red	G1
P2_C10	129.3272524837273	438.1545906132237	0.2951635227710978	Red	G1
P2_C11	160.31580527557367	1145.6568732575595	0.1399335254889467	Red	G1
P2_C12	799.6728250619914	84.31365906471554	9.484499118324315	Green	S/G2
P2_C13	1322.4537536480395	123.61053133623284	10.698552456269562	Green	S/G2
P2_C14	109.77753985248631	267.62134189864383	0.41019725509807187	Yellow	G1/S
P2_C1	1034.122207872961	25.224561067789313	40.99663835948729	Green	S/G2
P2_C2	1477.631866613443	38.673411735806184	38.20795218967873	Green	S/G2
P2_C3	1200.4330026509251	12.94669072418601	92.72122337860198	Green	S/G2
P2_C4	512.8321014312211	109.42474323837997	4.686619189172095	Green	S/G2
P2_C5	367.7569614118692	38.05519205137526	9.663778885030723	Green	S/G2
P2_C6	126.33999171684349	1156.0235114211985	0.10928842750051246	Red	G1
P2_C7	506.1485466346832	663.2799492027656	0.7630994231667222	Yellow	G1/S
P2_C8	582.7581877158104	624.7228732865963	0.9328267182694714	Yellow	G1/S
P2_C9	120.93107574488452	339.2814407083882	0.3564329233346559	Yellow	G1/S
