	dz	D2	D3
std	0.11658360189372637	0.02393313511179614	0.02342125394478471
min	-0.344	4.29532049800478	4.302706378615676
mean	-0.009041095890410961	4.50339675668053	4.504906969676079
max	0.31000000000000005	4.540667021273115	4.540695210876553
count	146.0	146.0	146.0
90%	0.14200000000000002	4.524631101584955	4.526112223183034
75%	0.055499999999999966	4.515221264801193	4.51673091298198
50%	-0.013999999999999999	4.505942971836384	4.507322870911471
25%	-0.08949999999999997	4.494634392064059	4.495976378280397
10%	-0.13699999999999996	4.480454230398868	4.482864428071115
