	dz	D2	D3
count	125.0	125.0	125.0
mean	0.015839999999999993	4.478309960263752	4.49257848447368
std	0.3581532020365479	0.03643361831680838	0.028643426542428078
min	-1.06	4.291624818499306	4.411647366894293
10%	-0.372	4.441283371139178	4.456389027987751
25%	-0.16799999999999998	4.459595047389484	4.4723075643708174
50%	0.0	4.481894328802872	4.490104825450592
75%	0.17400000000000002	4.499516898439192	4.510398148796107
90%	0.43440000000000034	4.517925747679495	4.527346585952885
max	1.278	4.571518009890941	4.572793556979938
