	dz	D2	D3
count	160.0	160.0	160.0
mean	0.007187500000000002	4.479789786889561	4.490539781625828
std	0.3111716383638017	0.023591527155251726	0.019971325568678942
min	-1.038	4.350100166076068	4.44279548323084
10%	-0.3182	4.454088768526192	4.465736940479723
25%	-0.19799999999999998	4.46680812194905	4.476192079501286
50%	0.005999999999999998	4.484041999895546	4.490557429019981
75%	0.1945	4.495351488174306	4.507183602229528
90%	0.4503999999999999	4.505048313455898	4.5136736270387985
max	0.6839999999999999	4.522154230186039	4.5303299533942045
